policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
lossaware-disc,20,10K,h2,2,10240,6.0,15,1,17.2857,17.124,0.2612,17.7216,4.7402,4.7839,0.0708,4.8074,10.6973,10.7,0.2193,11.0047,0.0,0,0.0,0.0,7.2061,7.177,0.0812,7.3247,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,3,10240,6.0,15,1,17.2483,17.205,0.1617,17.549,4.7498,4.7614,0.0442,4.798,10.6119,10.62,0.197,10.8756,0.0,0,0.0,0.0,7.2669,7.251,0.0785,7.373,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,4,10240,6.0,15,1,17.3193,17.246,0.2567,17.7352,4.7309,4.7501,0.0692,4.8088,10.6784,10.698,0.2384,10.9891,0.0,0,0.0,0.0,7.2738,7.276,0.0828,7.3901,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,5,10240,6.0,15,1,17.2443,17.189,0.2793,17.5972,4.7517,4.7658,0.0772,4.8577,10.6983,10.728,0.2176,11.0218,0.0,0,0.0,0.0,7.2494,7.218,0.0927,7.4205,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,6,10240,6.0,15,1,17.1849,17.218,0.1157,17.299,4.7672,4.7578,0.0323,4.8141,10.5846,10.533,0.1797,10.8453,0.0,0,0.0,0.0,7.2644,7.248,0.0859,7.4018,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,7,10240,6.0,15,1,17.3047,17.287,0.2249,17.6117,4.7347,4.7388,0.0612,4.8257,10.7242,10.744,0.2094,10.9677,0.0,0,0.0,0.0,7.2535,7.235,0.0827,7.3691,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,8,10240,6.0,15,1,17.2034,17.169,0.1793,17.4707,4.7623,4.7714,0.0496,4.8278,10.6161,10.605,0.1627,10.8638,0.0,0,0.0,0.0,7.2023,7.19,0.062,7.3111,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,9,10240,6.0,15,1,17.2734,17.244,0.1955,17.5442,4.7431,4.7506,0.0526,4.7968,10.6297,10.609,0.1818,10.9055,0.0,0,0.0,0.0,7.2512,7.242,0.0737,7.3681,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,10,10240,6.0,15,1,17.1974,17.187,0.2464,17.5356,4.7644,4.7664,0.0682,4.8628,10.5578,10.613,0.2097,10.8341,0.0,0,0.0,0.0,7.2486,7.253,0.0724,7.333,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h3,1,10240,22.0,15,1,57.9783,59.209,2.7853,60.451,1.4161,1.3836,0.0715,1.5348,31.1569,31.687,1.5936,32.4508,0.0,0,0.0,0.0,26.2903,26.423,1.039,27.7004,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h3,2,10240,22.0,15,1,58.0325,57.869,2.6222,61.5858,1.4144,1.4156,0.0649,1.518,31.4341,31.679,1.6811,33.1167,0.0,0,0.0,0.0,26.6579,26.879,1.3193,28.5365,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h3,3,10240,22.0,15,1,57.4303,58.189,2.7695,60.5434,1.4297,1.4078,0.0728,1.5399,30.7303,31.289,1.9844,33.5169,0.0,0,0.0,0.0,26.3871,26.252,1.2426,28.2862,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
