policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
ewma,20,200K,204800,,450,10,166.674,138.467,71.1872,261.2684,11.5598,11.8324,4.2429,16.6962,134.0647,112.1495,48.3491,193.5215,0.6756,0.0,1.4581,5.0,30.8669,26.4,19.4208,56.8941,72.3467,87.0,35.7247,110.0,85.8178,102.0,38.1417,126.0,23.556,0
lossaware,20,200K,204800,,450,10,166.3671,138.7465,70.1243,261.2123,11.5584,11.8086,4.232,16.6908,133.791,112.4795,47.164,193.7658,0.1044,0.0,0.5341,0.0,31.0024,26.3965,19.2916,56.8941,70.3422,87.0,38.6958,110.0,85.0844,102.0,38.9475,126.0,4.444,140
lossaware-disc,20,200K,204800,,450,10,167.1506,139.2185,71.8065,261.5258,11.5377,11.7686,4.243,16.6817,134.3989,112.432,49.0352,193.9045,0.1044,0.0,0.5505,0.0,30.9874,26.412,19.3002,56.9186,69.2156,82.5,38.419,110.0,84.54,102.0,39.1279,126.0,4.444,145
metrics,20,200K,204800,,450,10,208.1694,170.944,109.0844,360.6222,10.2541,9.5844,4.8749,16.575,175.879,144.3795,85.7828,295.5823,0.0,0.0,0.0,0.0,30.0137,24.992,18.7835,55.362,10.0,10.0,0.0,10.0,68.8911,61.0,40.2552,127.0,0.0,0
static10,20,200K,204800,,450,10,208.3653,171.661,109.1883,358.0914,10.2497,9.5444,4.8806,16.5906,176.0122,144.541,85.9089,294.2304,0.0,0.0,0.0,0.0,30.0345,24.993,18.7809,55.4136,10.0,10.0,0.0,10.0,68.8489,61.0,40.3894,127.0,0.0,0
statichigh,20,200K,204800,,450,10,174.5717,146.851,76.4815,287.4828,11.239,11.1569,4.4051,16.705,142.0969,120.343,52.8629,220.9548,0.0,0.0,0.0,0.0,30.3509,25.183,19.1121,55.939,24.0,24.0,0.0,24.0,74.2289,47.0,48.188,143.0,0.0,0
ewma,20,30K,30720,,450,10,77.454,66.684,47.7332,142.6606,4.9877,3.6854,3.2995,9.6221,44.9583,39.9,24.8771,75.3808,0.0,0.0,0.0,0.0,31.2627,25.227,19.6189,60.5369,21.2,22.0,2.9967,22.0,38.9044,43.0,6.6639,45.0,0.0,0
lossaware,20,30K,30720,,450,10,77.3912,66.781,47.6265,142.1589,4.9876,3.6801,3.3004,9.6349,44.831,39.816,24.7129,75.3258,0.0,0.0,0.0,0.0,31.2589,25.251,19.6182,59.8844,21.2,22.0,2.9967,22.0,38.9156,43.0,6.6552,45.0,0.0,0
lossaware-disc,20,30K,30720,,450,10,77.7619,66.977,48.1367,142.4066,4.9784,3.6693,3.2995,9.6431,45.1663,39.9165,25.2874,75.3574,0.0,0.0,0.0,0.0,31.2424,25.2495,19.6032,59.9663,21.2,22.0,2.9967,22.0,38.9156,43.0,6.6912,45.0,0.0,0
metrics,20,30K,30720,,450,10,102.4035,88.234,68.6413,201.0529,4.4476,2.7853,3.4766,9.3919,70.1171,61.4865,45.1557,135.4693,0.0,0.0,0.0,0.0,31.4074,25.257,21.7457,65.3021,10.0,10.0,0.0,10.0,30.8,33.0,3.1616,33.0,0.0,0
